                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    164,                0.58124,                0.30304,                0.90531,                0.99904,                0.99531,                  0.995,                 0.9036,                      0,                    inf,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                0.57584,                0.30326,                0.89964,                      1,                0.99944,                  0.995,                0.89304,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                    166,                0.56962,                0.29558,                0.89859,                0.99962,                      1,                  0.995,                0.90718,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                0.57195,                0.29364,                0.90502,                0.99926,                      1,                  0.995,                0.90284,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                    168,                0.56437,                0.29499,                0.89286,                0.99941,                      1,                  0.995,                0.90735,                      0,                    inf,                      0,              0.0017335,              0.0017335,              0.0017335
                    169,                0.56555,                0.29464,                0.89447,                 0.9994,                      1,                  0.995,                0.90494,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                    170,                0.57065,                0.30161,                 0.9015,                0.99926,                      1,                  0.995,                0.90035,                      0,                    inf,                      0,              0.0016345,              0.0016345,              0.0016345
                    171,                0.56198,                0.29587,                0.89478,                 0.9994,                      1,                  0.995,                0.90937,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                    172,                0.57137,                0.29239,                0.89732,                0.99745,                      1,                  0.995,                0.90646,                      0,                    inf,                      0,              0.0015355,              0.0015355,              0.0015355
                    173,                0.55118,                 0.2876,                0.89573,                 0.9986,                      1,                  0.995,                0.90259,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                    174,                0.56111,                0.29238,                0.89543,                0.99937,                      1,                  0.995,                0.90479,                      0,                    inf,                      0,              0.0014365,              0.0014365,              0.0014365
                    175,                0.54447,                0.28288,                0.89292,                0.99952,                      1,                  0.995,                 0.9035,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                    176,                0.54708,                0.28728,                0.89155,                0.99959,                      1,                  0.995,                0.90649,                      0,                    inf,                      0,              0.0013375,              0.0013375,              0.0013375
                    177,                0.54379,                0.28598,                0.89317,                0.99952,                      1,                  0.995,                0.90354,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                    178,                0.54046,                0.28074,                0.89308,                0.99962,                      1,                  0.995,                0.90683,                      0,                    inf,                      0,              0.0012385,              0.0012385,              0.0012385
                    179,                0.54456,                  0.285,                0.89342,                 0.9996,                      1,                  0.995,                0.91749,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                    180,                0.52183,                0.27785,                0.88631,                0.99956,                      1,                  0.995,                0.90518,                      0,                    inf,                      0,              0.0011395,              0.0011395,              0.0011395
                    181,                0.54401,                 0.2883,                0.89611,                 0.9995,                      1,                  0.995,                 0.8978,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                    182,                 0.5157,                0.27068,                0.88329,                0.99944,                      1,                  0.995,                0.90274,                      0,                    inf,                      0,              0.0010405,              0.0010405,              0.0010405
                    183,                0.53677,                0.28041,                0.89588,                0.99958,                      1,                  0.995,                0.90893,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                    184,                0.52642,                0.27048,                0.88611,                0.99949,                      1,                  0.995,                0.91238,                      0,                    inf,                      0,              0.0009415,              0.0009415,              0.0009415
                    185,                0.53142,                0.27808,                 0.8833,                0.99954,                      1,                  0.995,                0.91863,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                    186,                0.51853,                 0.2734,                 0.8865,                0.99957,                      1,                  0.995,                 0.9181,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                    187,                0.52144,                0.27514,                0.88824,                 0.9996,                      1,                  0.995,                0.92026,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                    188,                0.52448,                0.27215,                0.88126,                0.99955,                      1,                  0.995,                0.90949,                      0,                    inf,                      0,              0.0007435,              0.0007435,              0.0007435
                    189,                0.51173,                0.26869,                0.88872,                 0.9996,                      1,                  0.995,                0.91078,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                    190,                0.46202,                0.23036,                0.86063,                 0.9992,                      1,                  0.995,                0.90638,                      0,                    inf,                      0,              0.0006445,              0.0006445,              0.0006445
                    191,                0.45824,                 0.2247,                0.86964,                0.99935,                      1,                  0.995,                0.90512,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                    192,                0.45058,                0.22306,                0.85579,                0.99943,                      1,                  0.995,                0.90128,                      0,                    inf,                      0,              0.0005455,              0.0005455,              0.0005455
                    193,                0.45147,                0.22118,                0.86211,                0.99953,                      1,                  0.995,                0.90155,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                    194,                0.44283,                0.22153,                0.85265,                0.99957,                      1,                  0.995,                0.90926,                      0,                    inf,                      0,              0.0004465,              0.0004465,              0.0004465
                    195,                0.44565,                0.21849,                0.85931,                0.99956,                      1,                  0.995,                0.90736,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                    196,                0.43771,                 0.2203,                 0.8467,                 0.9996,                      1,                  0.995,                0.90375,                      0,                    inf,                      0,              0.0003475,              0.0003475,              0.0003475
                    197,                0.43074,                0.21366,                 0.8499,                0.99963,                      1,                  0.995,                0.90996,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
                    198,                0.43102,                0.21289,                0.85457,                0.99964,                      1,                  0.995,                0.91273,                      0,                    inf,                      0,              0.0002485,              0.0002485,              0.0002485
                    199,                0.42468,                0.21377,                0.84607,                0.99964,                      1,                  0.995,                0.91304,                      0,                    inf,                      0,               0.000199,               0.000199,               0.000199
