                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.94779,                0.51191,                 1.0324,                0.98602,                0.99364,                 0.9941,                0.81371,                      0,                    inf,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                0.94468,                0.51528,                 1.0368,                0.99929,                0.98592,                0.99495,                0.84624,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     40,                0.91705,                0.49164,                 1.0111,                0.99894,                0.99531,                  0.995,                0.83099,                      0,                    inf,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                0.92435,                0.49167,                 1.0162,                0.98979,                0.99531,                0.99382,                0.83588,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     42,                0.92497,                0.50195,                 1.0226,                0.99827,                0.98592,                0.99213,                0.84697,                      0,                    inf,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.9069,                0.49933,                 1.0084,                0.99457,                0.98592,                0.99472,                0.84374,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     44,                0.90788,                0.48465,                  1.009,                0.98816,                      1,                0.99448,                0.83005,                      0,                    inf,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                0.92061,                0.49894,                 1.0123,                0.99449,                0.98592,                0.99453,                0.84784,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     46,                0.91731,                0.47933,                 1.0175,                0.98552,                      1,                0.99415,                0.83757,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                0.90484,                0.47609,                 1.0142,                0.99053,                0.98244,                 0.9945,                0.83395,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     48,                0.90856,                 0.4812,                 1.0101,                0.98505,                0.98592,                0.99458,                0.82579,                      0,                    inf,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                 0.9102,                0.48524,                 1.0144,                0.98964,                      1,                0.99434,                0.83605,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     50,                0.89958,                 0.4798,                 1.0114,                0.99948,                0.98592,                0.99481,                0.84335,                      0,                    inf,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                0.90015,                 0.4721,                 1.0047,                0.98866,                      1,                0.99481,                0.83751,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     52,                0.88299,                0.47381,                 1.0035,                0.99466,                      1,                0.99477,                0.83669,                      0,                    inf,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                0.87575,                0.45981,                0.99761,                 0.9979,                      1,                  0.995,                0.83785,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     54,                0.88107,                0.47636,                0.99545,                0.99456,                0.99531,                0.99495,                0.83253,                      0,                    inf,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                0.87796,                0.46421,                 1.0053,                      1,                0.99931,                  0.995,                0.84674,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     56,                0.86585,                0.45837,                0.99075,                0.99614,                0.98592,                0.99482,                0.85379,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                0.86386,                0.46084,                0.99086,                0.99526,                0.98592,                0.99477,                0.85436,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     58,                0.87453,                  0.454,                 1.0012,                0.98995,                0.99531,                0.99476,                0.86199,                      0,                    inf,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                0.86276,                0.45074,                 0.9982,                0.99489,                0.99531,                0.99495,                0.85749,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     60,                0.85804,                0.44606,                0.99281,                0.99424,                      1,                  0.995,                0.85688,                      0,                    inf,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 0.8332,                0.43616,                0.98292,                0.99533,                0.99987,                  0.995,                0.84625,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     62,                0.83431,                 0.4418,                0.98977,                0.98975,                      1,                0.99363,                0.86254,                      0,                    inf,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                0.84338,                0.44386,                0.99362,                0.99009,                0.98592,                0.99413,                0.86822,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     64,                0.84343,                0.43596,                 0.9903,                0.99483,                0.98592,                0.99477,                0.86126,                      0,                    inf,                      0,              0.0068815,              0.0068815,              0.0068815
